univ_name,year,median_oa_perc
Perm State University,2016-01-01,0.05172413793103448
Perm State University,2017-01-01,0.08108108108108109
"Saint Petersburg State
University",2007-01-01,0
"Saint Petersburg State
University",2008-01-01,0
"Saint Petersburg State
University",2009-01-01,0.03571428571428571
"Saint Petersburg State
University",2010-01-01,0.041666666666666664
"Saint Petersburg State
University",2011-01-01,0.04411764705882353
"Saint Petersburg State
University",2012-01-01,0.06153846153846154
"Saint Petersburg State
University",2013-01-01,0.07142857142857142
"Saint Petersburg State
University",2014-01-01,0.07407407407407407
"Saint Petersburg State
University",2015-01-01,0.07692307692307693
"Saint Petersburg State
University",2016-01-01,0.09600614439324116
"Saint Petersburg State
University",2017-01-01,0.10256410256410256
Siberian Federal University,2007-01-01,0
Siberian Federal University,2008-01-01,0
Siberian Federal University,2009-01-01,0
Siberian Federal University,2010-01-01,0
Siberian Federal University,2011-01-01,0
Siberian Federal University,2012-01-01,0
Siberian Federal University,2013-01-01,0
Siberian Federal University,2014-01-01,0
Siberian Federal University,2015-01-01,0.044444444444444446
Siberian Federal University,2016-01-01,0.0625
Siberian Federal University,2017-01-01,0.1
South Ural State University,2007-01-01,0
South Ural State University,2008-01-01,0
South Ural State University,2009-01-01,0
South Ural State University,2010-01-01,0
South Ural State University,2011-01-01,0
South Ural State University,2012-01-01,0
South Ural State University,2013-01-01,0
South Ural State University,2014-01-01,0
South Ural State University,2015-01-01,0
South Ural State University,2016-01-01,0
South Ural State University,2017-01-01,0.06060606060606061
Southern Federal University,2007-01-01,0
Southern Federal University,2008-01-01,0
Southern Federal University,2009-01-01,0
Southern Federal University,2010-01-01,0
Southern Federal University,2011-01-01,0
Southern Federal University,2012-01-01,0.029411764705882353
Southern Federal University,2013-01-01,0.025657894736842105
Southern Federal University,2014-01-01,0
Southern Federal University,2015-01-01,0.043961352657004835
Southern Federal University,2016-01-01,0.04081632653061224
Southern Federal University,2017-01-01,0.0625
Tomsk Polytechnic University,2007-01-01,0
Tomsk Polytechnic University,2008-01-01,0
Tomsk Polytechnic University,2009-01-01,0
Tomsk Polytechnic University,2010-01-01,0
Tomsk Polytechnic University,2011-01-01,0
Tomsk Polytechnic University,2012-01-01,0
